GT \ Pred,Car,Truck,Bus,Other Vehicle,Motorcyclist,Bicyclist,Pedestrian,Sign,Traffic Light,Pole,Construction Cone,Bicycle,Motorcycle,Building,Vegetation,Tree Trunk,Curb,Road,Lane Marker,Other Ground,Walkable,Sidewalk
Car,66639789,1149108,2540,117803,21,172,8461,2263,290,12314,1865,172,5202,376182,289795,6998,39424,636828,14591,5881,129321,36877
Truck,2477120,4595087,21835,192566,3,98,2381,635,18,2400,367,163,23,361727,23249,776,5200,60690,828,285,12785,7014
Bus,635093,599028,1777014,144235,0,20,777,276,0,2933,33,466,12,67288,10881,2,2048,25989,195,0,1535,4345
Other Vehicle,336293,615752,8757,637669,2,381,1782,545,44,708,79,160,35,167461,19022,339,1642,16663,0,138,18455,2093
Motorcyclist,113,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,228,0,0,111,50
Bicyclist,57800,46,0,6,867,159280,18602,24,0,121,14,1628,883,1797,1221,47,405,2698,80,1,1275,1591
Pedestrian,975476,1077,168,1304,33,20348,4445596,1439,261,14994,971,1337,1406,261995,55723,11674,9948,36327,305,254,21154,51844
Sign,793753,40287,436,4091,4,28,6068,3184005,8549,204837,15477,222,599,342615,99152,10875,14384,64841,2056,342,58006,14758
Traffic Light,78525,133,49,231,0,2,1034,282941,29108,29172,173,0,13,50191,11160,71,1273,11827,75,135,5356,1369
Pole,1204654,1662,430,975,0,85,9796,193566,3823,6143851,17767,361,417,493321,135610,178578,23256,98692,3313,818,99346,35585
Construction Cone,60397,4176,0,532,8,69,372,29307,7,13152,310066,43,61,24335,3516,1341,3834,18730,1032,185,15365,1893
Bicycle,33906,84,0,2,0,2951,2804,94,0,1023,453,90211,2346,23988,10506,181,61,881,0,2,951,1348
Motorcycle,34094,1284,0,11,206,36,600,73,0,52,231,153,146361,4729,6339,428,107,2108,26,22,131,338
Building,29007841,52972,4662,28835,1840,390,128872,193469,7962,444824,12946,3412,2611,206204017,3930022,146949,274313,1067326,10426,25279,2025159,415077
Vegetation,18216417,32606,16255,80689,72,725,42654,158750,10765,211535,10606,1910,4548,4586705,128800179,1557435,292684,1469934,21125,5548,3924767,240567
Tree Trunk,1882398,974,145,3009,98,6,4440,9562,609,598744,1802,40,114,415578,1744434,8418207,25516,107796,1312,224,334031,26622
Curb,1493583,431,76,423,4,25,2089,826,50,2416,322,4,157,116158,61390,871,8015839,667829,4016,2018,489802,409276
Road,24294006,6844,1844,2175,31,682,8461,755,39,5563,6569,530,1884,210678,62046,1026,816207,161459306,540639,179483,1856541,1165468
Lane Marker,808467,347,149,61,0,2,117,54,1,596,468,3,11,3531,2745,61,45645,2726115,1786365,23541,40067,5868
Other Ground,692788,204,111,55,0,34,822,75,11,576,339,1,15,5022,1555,77,13315,2908460,27148,497076,35955,14789
Walkable,9370641,1768,35,742,34,216,9096,5574,50,24165,2684,110,93,1010250,2512374,107586,458925,1332566,6561,4931,57779665,1875724
Sidewalk,6278058,298,136,182,0,3949,57576,1415,41,20478,1290,947,347,533367,117099,6209,687557,1930211,1897,1260,4558530,31715760
