split,segment_name,waymo_weather,predicted_weather,prediction_confidence,prob_sun_clear,prob_cloudy,prob_foggy,prob_rain,prob_snow,location,time_of_day,total_frames,labeled_frames,date,day_of_week,hour_of_day,local_time,tfrecord
train,10017090168044687777_6380_000_6400_000,sunny,rain/storm,0.8463,0.0021,0.0165,0.1168,0.8463,0.0184,location_sf,Day,198,30,2019-02-13,Wednesday,10,10:44:27,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord
train,10023947602400723454_1120_000_1140_000,sunny,rain/storm,0.8853,0.0038,0.0156,0.0288,0.8853,0.0664,location_sf,Day,199,20,2019-03-12,Tuesday,18,18:23:15,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord
train,1005081002024129653_5313_150_5333_150,sunny,sun/clear,0.8896,0.8896,0.04,0.0027,0.0466,0.021,location_phx,Day,199,30,2017-11-13,Monday,10,10:20:00,segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord
train,10061305430875486848_1080_000_1100_000,sunny,sun/clear,0.7915,0.7915,0.0397,0.0027,0.1531,0.013,location_sf,Day,198,30,2019-03-18,Monday,11,11:19:12,segment-10061305430875486848_1080_000_1100_000_with_camera_labels.tfrecord
train,10072140764565668044_4060_000_4080_000,sunny,sun/clear,0.9884,0.9884,0.0066,0.0001,0.0029,0.0019,location_sf,Day,198,30,2019-03-15,Friday,17,17:27:30,segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord
train,10072231702153043603_5725_000_5745_000,sunny,cloudy/overcast,0.6353,0.1627,0.6353,0.0112,0.1593,0.0316,location_phx,Day,198,30,2018-03-22,Thursday,11,11:00:42,segment-10072231702153043603_5725_000_5745_000_with_camera_labels.tfrecord
train,10075870402459732738_1060_000_1080_000,sunny,rain/storm,0.5741,0.0791,0.1857,0.0973,0.5741,0.0638,location_sf,Day,199,30,2019-02-13,Wednesday,12,12:11:32,segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord
train,10082223140073588526_6140_000_6160_000,sunny,rain/storm,0.8244,0.028,0.0715,0.0667,0.8244,0.0094,location_sf,Night,197,30,2019-02-07,Thursday,18,18:50:12,segment-10082223140073588526_6140_000_6160_000_with_camera_labels.tfrecord
train,10094743350625019937_3420_000_3440_000,sunny,rain/storm,0.5968,0.1411,0.1966,0.0115,0.5968,0.0541,location_sf,Day,199,30,2019-03-26,Tuesday,12,12:41:44,segment-10094743350625019937_3420_000_3440_000_with_camera_labels.tfrecord
train,10096619443888687526_2820_000_2840_000,sunny,rain/storm,0.8308,0.0049,0.1061,0.0373,0.8308,0.021,location_sf,Day,198,30,2019-03-27,Wednesday,9,09:37:30,segment-10096619443888687526_2820_000_2840_000_with_camera_labels.tfrecord
train,10107710434105775874_760_000_780_000,sunny,foggy/hazy,0.3236,0.1866,0.297,0.3236,0.1792,0.0135,location_sf,Dawn/Dusk,199,30,2019-03-22,Friday,19,19:44:29,segment-10107710434105775874_760_000_780_000_with_camera_labels.tfrecord
train,10153695247769592104_787_000_807_000,sunny,foggy/hazy,0.8318,0.0322,0.0435,0.8318,0.067,0.0254,location_phx,Day,198,30,2018-02-14,Wednesday,16,16:51:11,segment-10153695247769592104_787_000_807_000_with_camera_labels.tfrecord
train,10206293520369375008_2796_800_2816_800,sunny,rain/storm,0.4326,0.1332,0.3066,0.121,0.4326,0.0066,location_phx,Night,198,30,2017-11-25,Saturday,18,18:17:44,segment-10206293520369375008_2796_800_2816_800_with_camera_labels.tfrecord
train,10212406498497081993_5300_000_5320_000,sunny,rain/storm,0.7595,0.0001,0.0014,0.0053,0.7595,0.2337,location_sf,Dawn/Dusk,198,30,2019-01-18,Friday,17,17:16:04,segment-10212406498497081993_5300_000_5320_000_with_camera_labels.tfrecord
train,1022527355599519580_4866_960_4886_960,sunny,sun/clear,0.9693,0.9693,0.0097,0.0006,0.0088,0.0116,location_phx,Day,198,40,2017-11-22,Wednesday,12,12:33:43,segment-1022527355599519580_4866_960_4886_960_with_camera_labels.tfrecord
train,10226164909075980558_180_000_200_000,sunny,rain/storm,0.7195,0.0903,0.1338,0.0368,0.7195,0.0195,location_sf,Night,198,30,2019-01-02,Wednesday,17,17:41:20,segment-10226164909075980558_180_000_200_000_with_camera_labels.tfrecord
